station_id,name,lat,lon,precip_mm_2025
USC00332929,FRANKLIN MCD,39.5528,-84.3147,1099.6
USC00332974,FREMONT,41.3336,-83.1197,979.4
USC00333021,GALION WTR WKS,40.7231,-82.8,1069.9
USC00333029,GALLIPOLIS,38.8208,-82.1817,1168.6
USC00333120,GERMANTOWN DAM,39.6361,-84.4014,1212.5
USC00333356,GREENFIELD WWTP,39.3417,-83.3767,1314.0
USC00333375,GREENVILLE WTP,40.1033,-84.6503,969.8
USC00333500,HANNIBAL LOCKS & DAM,39.6667,-80.8667,1123.1
USC00333722,HICKSVILLE,41.2875,-84.7597,747.8
USC00333758,HILLSBORO,39.2333,-83.6092,1328.3
USC00333780,HIRAM,41.3072,-81.1475,1289.4
USC00333915,LAKEVIEW,40.4911,-83.9253,897.8
USC00334004,JACKSON 3 NW,39.0792,-82.7064,1063.6
USC00334189,KENTON,40.6486,-83.6061,604.3
USC00334238,KINGS MILLS,39.3531,-84.2603,1158.4
USC00334249,KIRKERSVILLE 3 N,39.9981,-82.5986,1057.9
USC00334261,KIRWAN DAM,41.1433,-81.0789,1005.0
USC00334403,LANCASTER,39.7156,-82.6072,1133.8
USC00334551,LIMA WWTP,40.7247,-84.1294,801.7
USC00334672,LOGAN,39.5325,-82.3939,1138.9
USC00334681,LONDON STATE FISH HATCHERY,39.8972,-83.5097,1068.7
USC00334830,MANCHESTER 5 ENE,38.7094,-83.5186,812.1
USC00334927,MARIETTA WWTP,39.4086,-81.4328,1184.0
USC00334979,MARYSVILLE,40.1939,-83.2675,840.3
USC00335188,MIAMITOWN,39.2158,-84.6947,1177.7
USC00335220,MIDDLETOWN,39.5161,-84.4072,953.9
USC00335297,MILLERSBURG,40.5375,-81.9197,956.6
USC00335438,MONTPELIER,41.5892,-84.5858,750.3
USC00335505,MOSQUITO CREEK LAKE,41.2986,-80.7642,1104.2
USC00335718,NELSONVILLE,39.5014,-82.2439,1230.0
USC00335747,NEWARK WTR WKS,40.0875,-82.4128,1097.4
USC00335786,NEW CARLISLE,39.9317,-84.0328,1170.6
USC00335851,NEW LEBANON,39.7372,-84.3956,1137.6
USC00335857,NEW LEXINGTON 2 NW,39.7331,-82.2156,1091.0
USC00336089,NORTON 3NE,41.0569,-81.6133,948.9
USC00336118,NORWALK WWTP,41.2633,-82.6147,811.1
USC00336196,OBERLIN,41.2803,-82.2186,910.0
USC00336342,OTTAWA,41.0325,-84.0542,825.1
USC00336375,OXFORD,39.5067,-84.7186,1298.7
USC00336389,PAINESVILLE 4 NW,41.7528,-81.2953,1006.0
USC00336405,PANDORA,40.9461,-83.9614,770.4
USC00336465,PAULDING,41.1247,-84.5919,737.3
USC00336493,PEEBLES,38.9469,-83.4161,1283.3
USC00336630,PIKETON,39.07,-83.0194,1158.9
USC00336645,PIQUA,40.1525,-84.2372,991.8
USC00336697,PLEASANT HILL,40.0553,-84.3581,921.1
USC00336781,PORTSMOUTH-SCIOTOVILLE,38.7569,-82.8872,1178.3
USC00336949,RAVENNA 2 S,41.1367,-81.2844,1021.7
USC00336955,RAYMOND 4 NW,40.3511,-83.485,847.8
USC00337383,ST MARYS 3 W,40.545,-84.4375,644.8
USC00337400,ST PARIS 2 NE,40.1392,-83.9289,1020.2
USC00337410,SALEM CTR 2 E,39.07,-82.2908,1193.7
USC00337693,SIDNEY 1 S,40.2706,-84.1508,1040.1
USC00337857,S PT,38.4239,-82.5931,1150.3
USC00337926,SPRINGFIELD 2 WSW,39.9164,-83.8467,1115.5
USC00337935,SPRINGFIELD WTP,39.9736,-83.8072,1037.8
USC00338025,STEUBENVILLE,40.3764,-80.6283,680.3
USC00338062,STOW 4 SE,41.1314,-81.4492,893.1
USC00338332,TIPP CITY,39.9572,-84.175,1062.9
USC00338502,UNION CITY,40.2064,-84.7944,779.6
USC00338552,URBANA WRF,40.0992,-83.7822,1142.0
USC00338609,VAN WERT 1 S,40.8494,-84.5808,743.8
USC00338642,VERSAILLES,40.2211,-84.4956,940.5
